Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0,111.975,space,111.8665,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,111.9816,121.975,121.9766,165.9089,1,33.2137,3,43.9301,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,165.9093,175.9093,175.9096,194.0586,7,6.5804,1,18.1469,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,194.0589,204.0599,204.0602,227.8768,1,6.5472,9,23.8133,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,227.8771,237.876,237.8763,252.9106,3,8.9803,7,15.0307,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,252.9108,262.9107,262.9108,277.5275,1,7.847,4,14.6148,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,277.5279,287.4944,287.4944,304.7616,9,5.6481,7,17.2661,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,304.7619,314.7612,314.7615,325.9117,1,3.7309,9,11.1466,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,325.912,335.9121,335.9123,347.1453,7,3.6132,7,11.2303,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,347.1456,356.9957,356.9959,366.2618,1,5.7477,7,9.2634,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P004,001,2025-03-08_17h30.07.435,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,366.262,376.2629,376.2632,379.7125,7,2.2306,7,3.4465,0,9,9,9,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
