Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0.0003,36.7089,space,36.528,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,36.7166,46.7235,46.7239,57.5829,2,5.1582,4,10.8576,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,57.5833,67.5899,67.59,73.3661,5,3.0144,4,5.7646,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,73.3663,83.3391,83.3393,94.5484,1,3.998,3,11.1978,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,94.5487,104.5286,104.5288,111.2081,2,1.5096,4,6.6681,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,111.2083,121.1825,121.1827,127.3994,2,4.8887,2,6.2063,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,127.3996,137.4249,137.4251,143.1825,7,3.4624,2,5.7473,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,143.1828,153.25,153.2501,159.2487,1,2.8888,2,5.9878,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,159.2488,169.2286,169.2288,178.0948,5,3.9588,2,8.8557,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,178.095,188.1034,188.1036,194.9134,1,1.3495,3,6.7986,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,194.9135,204.9728,204.9731,208.5001,7,1.6311,6,3.5161,0,9,9,9,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,208.5004,218.4998,218.4999,223.0977,7,2.2701,4,4.5871,0,10,10,10,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,223.098,233.1058,233.106,237.4811,2,1.9136,5,4.3645,0,11,11,11,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P009,001,2025-02-01_18h06.42.291,Emotion.Memoire.2024,2024.1.5,MacIntel,61.72839506,237.4814,247.4615,247.4617,251.9467,6,1.5243,3,4.4743,0,12,12,12,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
