Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0,7.882,space,7.826,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,7.895,17.896,17.903,49.249,5,11.618,5,31.344,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,49.251,59.246,59.247,73.862,5,7.393,1,14.607,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,73.862,83.862,83.863,101.595,2,8.876,7,17.726,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,101.595,111.596,111.596,123.379,5,5.757,4,11.777,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,123.379,133.379,133.381,141.679,4,4.372,4,8.292,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,141.679,151.679,151.68,172.628,5,16.51,5,20.942,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,172.629,182.629,182.63,190.412,5,4.492,1,7.776,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,190.413,200.412,200.413,208.446,7,6.689,7,8.022,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,208.446,218.446,218.447,228.212,3,6.79,7,9.757,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,228.213,238.212,238.213,243.412,5,3.409,1,5.189,0,9,9,9,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,243.413,253.412,253.413,261.412,6,3.358,5,7.992,0,10,10,10,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,261.413,271.412,271.412,277.462,6,2.442,4,6.042,0,11,11,11,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,277.463,287.462,287.463,294.529,8,2.358,7,7.058,0,12,12,12,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,294.53,304.529,304.53,313.446,2,4.223,4,8.907,0,13,13,13,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video5.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,313.446,323.446,323.446,329.361,5,4.06,3,5.907,0,14,14,14,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video1.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,329.362,338.565,338.565,343.979,3,2.833,3,5.406,0,15,15,15,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,343.979,352.862,352.862,360.529,5,3.609,3,7.66,0,16,16,16,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,360.529,370.529,370.53,375.462,2,2.844,7,4.922,0,17,17,17,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image5.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P014,001,2025-03-17_14h08.09.579,Emotion.Memoire.2024,2024.1.5,MacIntel,62.5,375.462,385.462,385.463,391.495,8,3.574,8,6.025,0,18,18,18,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video2.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
