Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,241.6199,251.6207,251.6214,256.5668,8,3.0906,8,4.9436,0,11,11,11,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,256.5671,266.559,266.5593,272.6163,4,3.334,7,6.0554,0,12,12,12,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,272.6165,282.6089,282.6092,291.0903,3,5.7864,8,8.4738,0,13,13,13,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video5.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,291.0909,301.0919,301.0921,310.1204,5,2.9362,6,9.0272,0,14,14,14,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video1.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,310.1209,319.3668,319.367,324.3671,1,2.6288,8,4.9984,0,15,15,15,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,324.3675,333.2744,333.2746,339.0821,1,1.9011,7,5.8063,0,16,16,16,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,339.0824,349.074,349.0742,353.1125,1,1.7842,9,4.0371,0,17,17,17,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image5.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,353.1129,363.1061,363.1067,370.1207,8,3.4732,2,7.0065,0,18,18,18,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video2.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,370.122,380.119,380.1198,386.4999,5,2.8711,5,6.3747,0,19,19,19,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video7.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,386.5004,396.4894,396.4897,400.2965,9,1.7699,1,3.8019,0,20,20,20,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image5.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,400.2969,410.286,410.2865,415.2094,8,2.5512,1,4.9198,0,21,21,21,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
