Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0.0003,1.3577,space,1.2562,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,1.369,11.3581,11.3592,17.291,1,3.8448,6,5.929,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,17.2914,27.2912,27.2916,31.8409,5,2.4142,1,4.5478,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,31.8412,41.8415,41.8418,47.5069,1,2.2309,9,5.6634,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,47.5073,57.5084,57.5087,61.0915,1,2.1136,7,3.5794,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,61.092,71.0918,71.092,76.9751,1,4.5134,7,5.8807,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,76.9754,86.9416,86.9417,92.492,5,2.9641,1,5.5476,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,92.4922,102.4922,102.4924,108.2256,1,3.9314,5,5.7299,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,108.226,118.2258,118.2261,122.5257,3,3.5296,5,4.2975,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P012,001,2025-06-10_15h19.34.836,Emotion.Memoire.2024,2024.1.5,MacIntel,59.88023952,122.526,132.4262,132.4265,137.5588,1,1.9798,9,5.1289,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
