Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0.0003,25.2091,space,24.9931,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,25.2183,35.2095,35.2218,50.069,2,5.4,4,14.8378,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,50.0694,60.0593,60.0597,67.6657,5,4.5143,1,7.6022,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,67.6661,77.6564,77.6569,86.2636,1,2.825,7,8.5979,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,86.2642,96.2544,96.255,108.2141,2,5.5828,6,11.9508,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,108.2144,118.2049,118.2054,126.1779,3,3.2483,7,7.9681,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,126.1783,136.1689,136.1693,142.1906,7,3.5009,1,6.0206,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,142.1908,152.1814,152.1818,163.5071,1,2.6481,6,11.3198,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,163.5075,173.4982,173.4986,181.2541,7,5.1103,1,7.7467,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,181.2545,191.2486,191.2489,198.3344,1,3.4721,5,7.0764,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,198.3348,208.3253,208.3258,216.7487,7,5.3279,3,8.4129,0,9,9,9,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,216.7491,226.7397,226.7405,236.4143,6,4.0012,2,9.6653,0,10,10,10,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P019,001,2025-01-24_10h21.30.652,Emotion.Memoire.2024,2024.1.5,Win32,59.88023952,236.4147,246.417,246.4179,251.9664,6,2.9278,4,5.5475,0,11,11,11,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
