Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0.0001,62.9108,space,62.8047,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,62.9155,72.9115,72.9127,95.2105,1,12.6635,5,22.296,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,95.2109,105.2117,105.212,113.844,9,5.2294,1,8.6299,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,113.8443,123.8453,123.8457,130.6285,1,4.4629,9,6.7802,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,130.6288,140.6289,140.6291,149.5955,3,5.5631,3,8.9641,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,149.5958,159.5958,159.5961,166.0956,5,5.1975,5,6.4967,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,166.0958,176.046,176.0462,184.4124,7,5.4304,1,8.3652,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,184.4128,194.413,194.4133,199.9796,5,2.8967,1,5.5639,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,199.9798,209.9799,209.9802,221.5466,5,8.7809,3,11.5639,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,221.5468,231.4303,231.4306,237.9635,3,4.9141,5,6.5298,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,237.9639,247.9639,247.9642,255.5471,3,5.4473,5,7.5798,0,9,9,9,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,255.5473,265.5475,265.5477,271.364,7,3.1301,5,5.814,0,10,10,10,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,271.3643,281.3644,281.3647,288.2311,5,5.5795,1,6.8618,0,11,11,11,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,288.2315,298.2313,298.2316,302.0807,5,2.831,1,3.8466,0,12,12,12,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,302.0811,312.0815,312.0817,316.8142,5,3.1814,1,4.7296,0,13,13,13,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video5.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,316.8146,326.815,326.8153,333.7317,5,2.9973,3,6.9144,0,14,14,14,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video1.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,333.7321,342.9153,342.9155,352.1152,5,4.7969,1,9.1972,0,15,15,15,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,352.1155,360.949,360.9491,366.3488,1,3.6639,7,5.3973,0,16,16,16,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P013,001,2025-03-08_22h56.46.492,Emotion.Memoire.2024,2024.1.5,MacIntel,60.24096386,366.3491,376.3493,376.3495,380.7824,1,2.5971,9,4.4313,0,17,17,17,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image5.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
